dataset,model,avg_auc_std,avg_auc_mean,avg_auc_max,avg_auc_min,avg_auc_range,avg_acc_mean,avg_acc_std,avg_acc_max,avg_acc_min,avg_acc_range,total_students,n_successful_folds,success_rate
algebra2005,akt,0.06797262906547874,0.797011657514927,0.9685714285714286,0.438,0.5305714285714286,0.8046874429788865,0.06438965310926892,0.9395779051589368,0.5786753786753787,0.36090252648355825,570,5,1.0
algebra2005,atkt,0.05759058919960754,0.7984283051888865,0.9828571428571429,0.597013805522209,0.385843337334934,0.8020808479859571,0.06508682560878838,0.9473684210526315,0.6015818099346137,0.3457866111180178,570,5,1.0
algebra2005,atktfix,0.05711401791938574,0.7677202618075804,0.9317460317460317,0.525,0.4067460317460318,0.7928870337759055,0.0701067914776193,0.9473684210526315,0.5664080636043252,0.3809603574483062,570,5,1.0
algebra2005,bakt,0.06829839751071012,0.7935810055734135,0.9657142857142859,0.4746666666666666,0.4910476190476191,0.8056527778890448,0.06129174427545905,0.9473684210526315,0.5878378378378379,0.3595305832147937,570,5,1.0
algebra2005,dkt,0.05883189098709211,0.7820496953324062,0.9685714285714286,0.5479863945578232,0.4205850340136054,0.8016114771244686,0.0656716275173014,0.9285876561908367,0.5572840363728215,0.3713036198180153,570,5,1.0
algebra2005,dkt_forget,0.06199639982813916,0.7811255236709317,0.9685714285714286,0.5516666666666667,0.41690476190476194,0.8018682683421801,0.06750326108130836,0.9461300309597522,0.5571261682242991,0.3890038627354532,570,5,1.0
algebra2005,dkvmn,0.06576831455432948,0.7713310494775347,0.9914285714285714,0.5724231264231265,0.41900544500544507,0.7978730026932473,0.06525575878870626,0.9497160166603559,0.5879807692307693,0.3617352474295866,570,5,1.0
algebra2005,gkt,0.06372726481961832,0.7750609734841536,0.9660317460317461,0.5597444977991197,0.4062872482326263,0.8016228552509854,0.06471916392908045,0.9406285497917455,0.5846740097908322,0.35595454000091326,570,5,1.0
algebra2005,hawkes,0.06073720986870519,0.7952331489810562,0.9444444444444444,0.5476666666666666,0.39677777777777773,0.8020072002908043,0.07095958639926972,0.9372329338196976,0.5185185185185186,0.41871441530117914,570,5,1.0
algebra2005,kqn,0.06227194661721397,0.7692620976189758,0.9742857142857144,0.5399298245614035,0.43435588972431083,0.7941815083797208,0.07083068539209861,0.9473684210526315,0.5511100386100386,0.396258382442593,570,5,1.0
